Date,Open,High,Low,Close,Adj Close,Volume
2020-12-09,43.070000,43.080002,41.130001,41.849998,39.646965,86118500
2020-12-10,41.820000,42.220001,41.450001,41.730000,39.533283,57749200
2020-12-11,41.970001,42.070000,40.689999,41.119999,38.955391,60737000
2020-12-14,41.619999,41.660000,39.070000,39.209999,37.145935,94809700
2020-12-15,39.060001,39.180000,38.209999,38.709999,36.672260,65712800
2020-12-16,38.180000,38.470001,37.740002,37.840000,35.848057,56515300
2020-12-17,37.830002,38.119999,37.310001,38.029999,36.028053,52036400
2020-12-18,37.990002,38.090000,37.500000,37.680000,35.696484,60259200
2020-12-21,37.279999,37.400002,36.910000,37.380001,35.412273,40891800
2020-12-22,37.209999,37.330002,36.599998,36.740002,34.805965,33634400
2020-12-23,37.009998,37.650002,36.880001,37.439999,35.469112,36182000
2020-12-24,37.400002,37.570000,37.180000,37.270000,35.308064,14790100
2020-12-28,37.360001,37.580002,36.680000,36.820000,34.881752,26993700
2020-12-29,36.900002,37.200001,36.790001,37.049999,35.099644,23152100
2020-12-30,37.029999,37.240002,36.700001,36.740002,34.805965,24889800
2020-12-31,36.660000,36.919998,36.290001,36.810001,34.872280,30796500
2021-01-04,36.869999,36.939999,36.270000,36.810001,34.872280,33565700
2021-01-05,36.720001,37.369999,36.599998,37.189999,35.232269,29909400
2021-01-06,36.830002,37.480000,36.770000,36.869999,34.929115,34962500
2021-01-07,37.040001,37.150002,36.669998,37.060001,35.109119,27809500
2021-01-08,37.160000,37.529999,36.900002,37.130001,35.175434,33462400
2021-01-11,37.220001,37.830002,37.150002,37.770000,35.781742,47286900
2021-01-12,37.700001,37.790001,36.820000,37.180000,35.222801,47831100
2021-01-13,37.000000,37.169998,36.639999,36.860001,34.919647,31027900
2021-01-14,36.779999,36.959999,36.610001,36.750000,34.815434,30272000
2021-01-15,36.680000,36.779999,36.400002,36.700001,34.768066,34287800
2021-01-19,36.759998,37.000000,36.619999,36.730000,34.796490,33451300
2021-01-20,36.790001,36.810001,36.459999,36.500000,34.578594,35400100
2021-01-21,36.389999,36.590000,36.150002,36.480000,34.559650,33829700
2021-01-22,36.320000,36.830002,36.250000,36.549999,34.625957,26271200
2021-01-25,36.549999,37.290001,36.320000,37.279999,35.317535,31728500
2021-01-26,37.270000,37.599998,37.160000,37.310001,35.345959,27718700
2021-01-27,36.990002,37.040001,36.169998,36.240002,34.332279,50561200
2021-01-28,35.950001,36.330002,35.840000,35.860001,34.341862,39466700
2021-01-29,36.880001,36.880001,35.619999,35.900002,34.380169,60251900
2021-02-01,35.930000,36.189999,35.720001,35.799999,34.284401,40395800
2021-02-02,35.759998,35.779999,34.270000,34.990002,33.508694,84062400
2021-02-03,34.990002,35.290001,34.779999,34.840000,33.365040,38524200
2021-02-04,34.810001,35.080002,34.700001,34.889999,33.412922,34284900
2021-02-05,34.919998,35.080002,34.779999,34.919998,33.441654,31749600
2021-02-08,34.959999,35.009998,34.740002,34.820000,33.345890,31633900
2021-02-09,34.799999,35.060001,34.759998,34.970001,33.489540,30170200
2021-02-10,35.000000,35.080002,34.700001,34.740002,33.269279,29039900
2021-02-11,34.799999,34.810001,34.279999,34.430000,32.972397,30885200
2021-02-12,34.439999,34.950001,34.360001,34.720001,33.250126,25578600
2021-02-16,34.849998,34.860001,34.560001,34.689999,33.221394,28730300
2021-02-17,34.570000,35.000000,34.459999,34.889999,33.412922,26389400
2021-02-18,34.779999,34.880001,34.520000,34.560001,33.096897,24052500
2021-02-19,34.660000,34.680000,34.400002,34.439999,32.981976,28145300
2021-02-22,34.330002,34.369999,34.040001,34.259998,32.809597,34322500
2021-02-23,34.000000,34.189999,33.680000,33.910000,32.474415,37624200
2021-02-24,33.869999,34.049999,33.669998,33.750000,32.321190,30686100
2021-02-25,33.820000,34.110001,33.540001,33.820000,32.388226,37506100
2021-02-26,33.840000,33.900002,33.360001,33.490002,32.072197,41462800
2021-03-01,33.590000,33.930000,33.509998,33.689999,32.263721,30407800
2021-03-02,33.680000,33.889999,33.500000,33.509998,32.091347,27670400
2021-03-03,33.509998,34.450001,33.439999,34.389999,32.934093,46020200
2021-03-04,34.259998,35.090000,33.840000,34.200001,32.752136,45449600
2021-03-05,34.290001,34.549999,33.959999,34.389999,32.934093,30589900
2021-03-08,34.480000,34.869999,34.330002,34.349998,32.895782,24352300
2021-03-09,34.540001,34.849998,34.439999,34.450001,32.991550,25167100
2021-03-10,34.639999,35.139999,34.520000,34.930000,33.451237,33501800
2021-03-11,35.070000,35.119999,34.660000,34.709999,33.240540,24557900
2021-03-12,34.560001,34.980000,34.509998,34.939999,33.460808,16342400
2021-03-15,35.009998,35.430000,34.959999,35.410000,33.910912,21896100
2021-03-16,35.470001,35.860001,35.310001,35.830002,34.313133,25022400
2021-03-17,35.830002,35.959999,35.119999,35.790001,34.274826,42540100
2021-03-18,35.529999,35.970001,35.520000,35.770000,34.255672,24729800
2021-03-19,35.750000,35.820000,35.470001,35.529999,34.025826,48348900
2021-03-22,35.480000,36.009998,35.360001,36.000000,34.475933,25427500
2021-03-23,35.820000,35.930000,35.320000,35.360001,33.863029,27970500
2021-03-24,35.480000,35.930000,35.369999,35.610001,34.102448,22883400
2021-03-25,35.650002,35.790001,35.250000,35.669998,34.159904,24875300
2021-03-26,35.680000,36.290001,35.639999,36.250000,34.715351,27944500
2021-03-29,36.029999,36.740002,35.900002,36.619999,35.069687,27004800
2021-03-30,36.590000,36.630001,36.020000,36.110001,34.581276,26303300
2021-03-31,36.150002,36.430000,36.040001,36.230000,34.696194,26582700
2021-04-01,36.299999,36.450001,36.020000,36.299999,34.763233,21319900
2021-04-05,36.439999,36.570000,36.099998,36.279999,34.744080,22096900
2021-04-06,36.259998,36.400002,36.000000,36.049999,34.523815,20722900
2021-04-07,36.029999,36.240002,35.759998,35.910000,34.389740,21933800
2021-04-08,35.959999,36.150002,35.869999,35.959999,34.437626,18129400
2021-04-09,35.900002,36.810001,35.900002,36.599998,35.050529,31686700
2021-04-12,36.480000,37.029999,36.330002,36.970001,35.404865,29944900
2021-04-13,37.410000,37.650002,36.889999,37.160000,35.586823,33967400
2021-04-14,37.169998,37.380001,36.959999,37.169998,35.596401,23842900
